date,value
2023-01-01,14.0
2023-01-02,15.3
2023-01-03,15.73
2023-01-04,14.69
2023-01-05,12.96
2023-01-06,15.21
2023-01-07,15.41
2023-01-08,15.39
2023-01-09,16.07
2023-01-10,14.23
2023-01-11,15.64
2023-01-12,16.06
2023-01-13,13.7
2023-01-14,15.39
2023-01-15,14.74
2023-01-16,15.08
2023-01-17,15.44
2023-01-18,14.78
2023-01-19,14.64
2023-01-20,15.22
2023-01-21,14.33
2023-01-22,14.34
2023-01-23,15.76
2023-01-24,14.31
2023-01-25,15.77
2023-01-26,15.62
2023-01-27,13.88
2023-01-28,14.73
2023-01-29,16.24
2023-01-30,14.51
2023-01-31,14.93
2023-02-01,15.68
2023-02-02,15.95
2023-02-03,15.13
2023-02-04,14.86
2023-02-05,16.49
2023-02-06,16.75
2023-02-07,16.15
2023-02-08,15.45
2023-02-09,14.74
2023-02-10,14.74
2023-02-11,15.83
2023-02-12,15.75
2023-02-13,16.55
2023-02-14,15.96
2023-02-15,14.25
2023-02-16,16.3
2023-02-17,14.67
2023-02-18,15.17
2023-02-19,15.69
2023-02-20,17.1
2023-02-21,18.0
2023-02-22,16.01
2023-02-23,15.38
2023-02-24,15.97
2023-02-25,16.26
2023-02-26,15.3
2023-02-27,17.01
2023-02-28,15.76
2023-03-01,15.99
2023-03-02,16.13
2023-03-03,15.95
2023-03-04,16.29
2023-03-05,15.14
2023-03-06,15.19
2023-03-07,14.77
2023-03-08,16.01
2023-03-09,16.29
2023-03-10,16.05
2023-03-11,17.03
2023-03-12,15.7
2023-03-13,16.24
2023-03-14,14.85
2023-03-15,15.42
2023-03-16,16.3
2023-03-17,16.43
2023-03-18,15.52
2023-03-19,15.71
2023-03-20,14.57
2023-03-21,15.5
2023-03-22,16.51
2023-03-23,16.27
2023-03-24,16.22
2023-03-25,15.87
2023-03-26,15.85
2023-03-27,15.32
2023-03-28,16.42
2023-03-29,16.21
2023-03-30,16.27
2023-03-31,15.47
2023-04-01,14.18
2023-04-02,16.79
2023-04-03,15.54
2023-04-04,15.24
2023-04-05,16.49
2023-04-06,15.64
2023-04-07,16.81
2023-04-08,16.46
2023-04-09,16.53
2023-04-10,14.9
2023-04-11,16.97
2023-04-12,16.22
2023-04-13,15.72
2023-04-14,16.14
2023-04-15,14.62
2023-04-16,16.38
2023-04-17,15.24
2023-04-18,14.99
2023-04-19,14.86
2023-04-20,16.98
2023-04-21,15.6
2023-04-22,17.34
2023-04-23,15.69
2023-04-24,14.76
2023-04-25,15.25
2023-04-26,17.14
2023-04-27,16.04
2023-04-28,15.73
2023-04-29,16.31
2023-04-30,16.59
2023-05-01,17.09
2023-05-02,17.37
2023-05-03,15.93
2023-05-04,15.17
2023-05-05,15.91
2023-05-06,16.46
2023-05-07,15.49
2023-05-08,15.5
2023-05-09,16.56
2023-05-10,16.25
2023-05-11,16.33
2023-05-12,15.7
2023-05-13,16.14
2023-05-14,15.59
2023-05-15,17.05
2023-05-16,17.18
2023-05-17,14.88
2023-05-18,15.63
2023-05-19,15.18
2023-05-20,15.87
2023-05-21,16.33
2023-05-22,15.25
2023-05-23,15.68
2023-05-24,15.63
2023-05-25,16.61
2023-05-26,16.51
2023-05-27,15.88
2023-05-28,16.61
2023-05-29,16.04
2023-05-30,16.27
2023-05-31,17.84
2023-06-01,17.58
2023-06-02,15.48
2023-06-03,17.19
2023-06-04,17.19
2023-06-05,15.63
2023-06-06,17.22
2023-06-07,17.8
2023-06-08,15.68
2023-06-09,15.86
2023-06-10,17.41
2023-06-11,16.83
2023-06-12,17.06
2023-06-13,16.9
2023-06-14,16.95
2023-06-15,15.59
2023-06-16,17.5
2023-06-17,17.61
2023-06-18,16.5
2023-06-19,16.66
2023-06-20,15.48
2023-06-21,17.12
2023-06-22,17.18
2023-06-23,16.68
2023-06-24,17.64
2023-06-25,16.48
2023-06-26,17.21
2023-06-27,15.95
2023-06-28,16.76
2023-06-29,16.65
2023-06-30,16.98
2023-07-01,16.51
2023-07-02,16.71
2023-07-03,17.49
2023-07-04,16.49
2023-07-05,15.56
2023-07-06,18.26
2023-07-07,17.98
2023-07-08,15.85
2023-07-09,17.44
2023-07-10,16.5
2023-07-11,17.12
2023-07-12,17.16
2023-07-13,16.74
2023-07-14,16.31
2023-07-15,16.4
2023-07-16,16.23
2023-07-17,16.3
2023-07-18,16.93
2023-07-19,16.42
2023-07-20,17.55
2023-07-21,18.2
2023-07-22,16.56
2023-07-23,17.22
2023-07-24,17.44
2023-07-25,17.43
2023-07-26,17.12
2023-07-27,17.66
2023-07-28,17.47
2023-07-29,16.1
2023-07-30,17.8
2023-07-31,17.82
2023-08-01,16.51
2023-08-02,17.16
2023-08-03,17.69
2023-08-04,16.98
2023-08-05,18.02
2023-08-06,19.06
2023-08-07,16.55
2023-08-08,16.09
2023-08-09,17.44
2023-08-10,17.79
2023-08-11,17.04
2023-08-12,18.39
2023-08-13,16.17
2023-08-14,17.8
2023-08-15,16.78
2023-08-16,18.65
2023-08-17,18.87
2023-08-18,16.68
2023-08-19,16.86
2023-08-20,18.0
2023-08-21,17.01
2023-08-22,17.29
2023-08-23,17.36
2023-08-24,15.81
2023-08-25,17.35
2023-08-26,16.82
2023-08-27,16.99
2023-08-28,18.54
2023-08-29,16.39
2023-08-30,18.06
2023-08-31,17.2
2023-09-01,17.21
2023-09-02,18.07
2023-09-03,17.72
2023-09-04,17.92
2023-09-05,18.24
2023-09-06,17.21
2023-09-07,17.0
2023-09-08,16.63
2023-09-09,16.85
2023-09-10,19.88
2023-09-11,18.53
2023-09-12,16.46
2023-09-13,16.49
2023-09-14,17.95
2023-09-15,18.01
2023-09-16,18.02
2023-09-17,17.39
2023-09-18,17.5
2023-09-19,17.87
2023-09-20,17.69
2023-09-21,15.85
2023-09-22,17.46
2023-09-23,16.97
2023-09-24,17.8
2023-09-25,20.06
2023-09-26,17.97
2023-09-27,17.44
2023-09-28,18.44
2023-09-29,18.1
2023-09-30,18.06
2023-10-01,18.22
2023-10-02,19.39
2023-10-03,16.85
2023-10-04,18.14
2023-10-05,17.03
2023-10-06,18.22
2023-10-07,17.06
2023-10-08,17.47
2023-10-09,17.57
2023-10-10,18.6
2023-10-11,18.56
2023-10-12,16.84
2023-10-13,17.89
2023-10-14,17.29
2023-10-15,16.86
2023-10-16,17.71
2023-10-17,17.64
2023-10-18,19.84
2023-10-19,18.26
2023-10-20,16.82
2023-10-21,17.48
2023-10-22,18.76
2023-10-23,19.62
2023-10-24,16.69
2023-10-25,16.47
2023-10-26,19.48
2023-10-27,18.3
2023-10-28,17.31
2023-10-29,18.44
2023-10-30,15.91
2023-10-31,18.03
2023-11-01,18.3
2023-11-02,18.79
2023-11-03,17.25
2023-11-04,18.14
2023-11-05,17.34
2023-11-06,18.29
2023-11-07,17.38
2023-11-08,17.78
2023-11-09,17.32
2023-11-10,18.65
2023-11-11,18.83
2023-11-12,17.96
2023-11-13,18.19
2023-11-14,17.01
2023-11-15,17.94
2023-11-16,18.15
2023-11-17,20.3
2023-11-18,17.32
2023-11-19,19.39
2023-11-20,19.03
2023-11-21,18.46
2023-11-22,19.66
2023-11-23,18.56
2023-11-24,18.58
2023-11-25,18.24
2023-11-26,19.27
2023-11-27,19.18
2023-11-28,17.81
2023-11-29,17.26
2023-11-30,18.17
2023-12-01,17.7
2023-12-02,18.3
2023-12-03,19.35
2023-12-04,18.0
2023-12-05,18.35
2023-12-06,18.44
2023-12-07,19.08
2023-12-08,16.61
2023-12-09,17.93
2023-12-10,18.6
2023-12-11,19.4
2023-12-12,18.06
2023-12-13,16.96
2023-12-14,18.97
2023-12-15,17.97
2023-12-16,17.54
2023-12-17,18.0
2023-12-18,18.36
2023-12-19,18.04
2023-12-20,16.77
2023-12-21,19.26
2023-12-22,19.57
2023-12-23,19.08
2023-12-24,17.66
2023-12-25,18.42
2023-12-26,18.58
2023-12-27,19.08
2023-12-28,19.14
2023-12-29,18.03
2023-12-30,18.7
2023-12-31,19.01
2024-01-01,19.81
2024-01-02,19.22
2024-01-03,19.3
2024-01-04,18.75
2024-01-05,19.82
2024-01-06,19.03
2024-01-07,18.02
2024-01-08,19.84
2024-01-09,19.29
2024-01-10,18.39
2024-01-11,18.37
2024-01-12,19.0
2024-01-13,19.14
2024-01-14,18.94
2024-01-15,19.04
2024-01-16,20.16
2024-01-17,19.67
2024-01-18,18.97
2024-01-19,19.58
2024-01-20,18.01
2024-01-21,19.17
2024-01-22,20.31
2024-01-23,18.7
2024-01-24,18.2
2024-01-25,18.37
2024-01-26,18.03
2024-01-27,18.28
2024-01-28,18.62
2024-01-29,17.81
2024-01-30,18.95
2024-01-31,19.67
2024-02-01,18.23
2024-02-02,20.19
2024-02-03,19.39
2024-02-04,19.81
2024-02-05,18.47
2024-02-06,19.69
2024-02-07,18.15
2024-02-08,19.74
2024-02-09,19.18
2024-02-10,19.49
2024-02-11,18.12
2024-02-12,18.35
2024-02-13,19.56
2024-02-14,18.33
2024-02-15,19.47
2024-02-16,18.02
2024-02-17,19.8
2024-02-18,18.14
2024-02-19,19.58
2024-02-20,19.65
2024-02-21,18.6
2024-02-22,19.64
2024-02-23,19.39
2024-02-24,18.76
2024-02-25,18.39
2024-02-26,17.64
2024-02-27,19.5
2024-02-28,17.98
2024-02-29,19.32
2024-03-01,19.04
2024-03-02,19.8
2024-03-03,19.03
2024-03-04,19.02
2024-03-05,19.88
2024-03-06,19.57
2024-03-07,19.56
2024-03-08,19.7
2024-03-09,18.1
2024-03-10,19.95
2024-03-11,19.84
2024-03-12,18.55
2024-03-13,19.17
2024-03-14,19.35
