date,value
2023-01-01,207.45
2023-01-02,213.86
2023-01-03,229.81
2023-01-04,232.42
2023-01-05,189.01
2023-01-06,178.49
2023-01-07,209.85
2023-01-08,213.61
2023-01-09,210.99
2023-01-10,230.34
2023-01-11,204.73
2023-01-12,187.64
2023-01-13,187.73
2023-01-14,159.56
2023-01-15,178.33
2023-01-16,211.7
2023-01-17,209.11
2023-01-18,218.49
2023-01-19,183.1
2023-01-20,165.02
2023-01-21,212.35
2023-01-22,202.91
2023-01-23,223.25
2023-01-24,205.03
2023-01-25,207.71
2023-01-26,200.49
2023-01-27,171.04
2023-01-28,198.1
2023-01-29,199.39
2023-01-30,219.96
2023-01-31,219.47
2023-02-01,245.76
2023-02-02,200.72
2023-02-03,174.54
2023-02-04,206.9
2023-02-05,192.19
2023-02-06,229.57
2023-02-07,201.2
2023-02-08,200.15
2023-02-09,205.98
2023-02-10,203.58
2023-02-11,199.23
2023-02-12,210.87
2023-02-13,224.02
2023-02-14,210.52
2023-02-15,211.38
2023-02-16,198.21
2023-02-17,210.46
2023-02-18,203.92
2023-02-19,188.25
2023-02-20,235.5
2023-02-21,229.02
2023-02-22,214.12
2023-02-23,216.4
2023-02-24,212.17
2023-02-25,214.83
2023-02-26,204.21
2023-02-27,228.1
2023-02-28,241.87
2023-03-01,241.01
2023-03-02,202.13
2023-03-03,196.02
2023-03-04,186.37
2023-03-05,200.96
2023-03-06,247.02
2023-03-07,259.34
2023-03-08,227.4
2023-03-09,226.48
2023-03-10,206.33
2023-03-11,195.39
2023-03-12,226.42
2023-03-13,260.01
2023-03-14,240.56
2023-03-15,254.05
2023-03-16,174.23
2023-03-17,215.33
2023-03-18,208.47
2023-03-19,218.61
2023-03-20,240.41
2023-03-21,213.39
2023-03-22,229.38
2023-03-23,220.98
2023-03-24,227.27
2023-03-25,201.49
2023-03-26,213.07
2023-03-27,233.61
2023-03-28,259.03
2023-03-29,239.71
2023-03-30,209.78
2023-03-31,214.9
2023-04-01,212.82
2023-04-02,241.83
2023-04-03,232.71
2023-04-04,242.48
2023-04-05,231.0
2023-04-06,197.87
2023-04-07,213.74
2023-04-08,217.38
2023-04-09,229.48
2023-04-10,241.82
2023-04-11,228.27
2023-04-12,232.67
2023-04-13,216.78
2023-04-14,199.37
2023-04-15,213.14
2023-04-16,237.56
2023-04-17,275.73
2023-04-18,254.22
2023-04-19,244.94
2023-04-20,222.91
2023-04-21,184.72
2023-04-22,217.27
2023-04-23,234.5
2023-04-24,286.49
2023-04-25,250.81
2023-04-26,247.7
2023-04-27,225.6
2023-04-28,198.07
2023-04-29,236.91
2023-04-30,246.98
2023-05-01,263.5
2023-05-02,242.16
2023-05-03,266.32
2023-05-04,207.19
2023-05-05,226.5
2023-05-06,254.72
2023-05-07,222.94
2023-05-08,245.24
2023-05-09,259.39
2023-05-10,239.83
2023-05-11,207.06
2023-05-12,220.83
2023-05-13,208.03
2023-05-14,247.0
2023-05-15,242.05
2023-05-16,283.25
2023-05-17,237.73
2023-05-18,227.59
2023-05-19,234.1
2023-05-20,207.6
2023-05-21,245.41
2023-05-22,277.54
2023-05-23,237.99
2023-05-24,254.35
2023-05-25,238.42
2023-05-26,235.73
2023-05-27,209.61
2023-05-28,224.29
2023-05-29,267.87
2023-05-30,268.65
2023-05-31,257.44
2023-06-01,241.82
2023-06-02,215.9
2023-06-03,233.75
2023-06-04,250.6
2023-06-05,251.42
2023-06-06,294.29
2023-06-07,262.89
2023-06-08,220.85
2023-06-09,238.05
2023-06-10,217.74
2023-06-11,260.11
2023-06-12,281.62
2023-06-13,256.09
2023-06-14,272.33
2023-06-15,247.01
2023-06-16,242.63
2023-06-17,262.92
2023-06-18,246.72
2023-06-19,255.03
2023-06-20,257.16
2023-06-21,247.74
2023-06-22,241.77
2023-06-23,237.52
2023-06-24,240.71
2023-06-25,264.91
2023-06-26,268.63
2023-06-27,294.4
2023-06-28,258.11
2023-06-29,285.82
2023-06-30,243.89
2023-07-01,225.81
2023-07-02,238.54
2023-07-03,277.77
2023-07-04,271.35
2023-07-05,274.89
2023-07-06,254.22
2023-07-07,235.51
2023-07-08,228.06
2023-07-09,233.98
2023-07-10,265.94
2023-07-11,289.64
2023-07-12,269.49
2023-07-13,230.54
2023-07-14,241.3
2023-07-15,248.64
2023-07-16,245.54
2023-07-17,277.04
2023-07-18,279.77
2023-07-19,251.23
2023-07-20,256.69
2023-07-21,249.21
2023-07-22,261.21
2023-07-23,276.71
2023-07-24,256.17
2023-07-25,266.93
2023-07-26,278.2
2023-07-27,261.13
2023-07-28,250.63
2023-07-29,304.85
2023-07-30,271.56
2023-07-31,295.97
2023-08-01,297.41
2023-08-02,282.35
2023-08-03,250.79
2023-08-04,256.39
2023-08-05,237.57
2023-08-06,261.55
2023-08-07,273.76
2023-08-08,286.43
2023-08-09,309.4
2023-08-10,229.61
2023-08-11,257.4
2023-08-12,227.07
2023-08-13,260.12
2023-08-14,299.47
2023-08-15,288.26
2023-08-16,260.61
2023-08-17,248.99
2023-08-18,259.4
2023-08-19,242.41
2023-08-20,272.55
2023-08-21,285.92
2023-08-22,279.62
2023-08-23,311.04
2023-08-24,271.33
2023-08-25,220.92
2023-08-26,258.26
2023-08-27,261.47
2023-08-28,300.12
