date,value
2023-01-01,72.46
2023-01-02,91.04
2023-01-03,97.81
2023-01-04,89.57
2023-01-05,77.51
2023-01-06,81.26
2023-01-07,72.51
2023-01-08,77.21
2023-01-09,100.97
2023-01-10,106.07
2023-01-11,73.73
2023-01-12,78.92
2023-01-13,71.79
2023-01-14,64.65
2023-01-15,93.06
2023-01-16,89.48
2023-01-17,95.08
2023-01-18,83.93
2023-01-19,72.75
2023-01-20,53.46
2023-01-21,52.87
2023-01-22,94.9
2023-01-23,82.16
2023-01-24,83.56
2023-01-25,63.77
2023-01-26,65.85
2023-01-27,50.85
2023-01-28,83.34
2023-01-29,88.7
2023-01-30,83.4
2023-01-31,115.65
2023-02-01,94.78
2023-02-02,68.64
2023-02-03,38.73
2023-02-04,89.48
2023-02-05,64.35
2023-02-06,73.47
2023-02-07,103.0
2023-02-08,109.01
2023-02-09,85.38
2023-02-10,69.02
2023-02-11,72.17
2023-02-12,86.43
2023-02-13,97.17
2023-02-14,95.24
2023-02-15,85.3
2023-02-16,70.57
2023-02-17,55.49
2023-02-18,63.07
2023-02-19,60.62
2023-02-20,88.24
2023-02-21,82.19
2023-02-22,72.87
2023-02-23,72.64
2023-02-24,76.6
2023-02-25,74.71
2023-02-26,61.49
2023-02-27,78.98
2023-02-28,101.13
2023-03-01,73.73
2023-03-02,68.25
2023-03-03,67.83
2023-03-04,55.49
2023-03-05,77.9
2023-03-06,75.19
2023-03-07,85.36
2023-03-08,86.41
2023-03-09,54.21
2023-03-10,66.38
2023-03-11,64.63
2023-03-12,82.02
2023-03-13,90.42
2023-03-14,104.67
2023-03-15,84.11
2023-03-16,65.5
2023-03-17,62.85
2023-03-18,69.91
2023-03-19,76.64
2023-03-20,88.23
2023-03-21,83.65
2023-03-22,75.88
2023-03-23,55.42
2023-03-24,78.77
2023-03-25,51.68
2023-03-26,68.87
2023-03-27,80.29
2023-03-28,99.27
2023-03-29,79.21
2023-03-30,81.57
2023-03-31,54.19
2023-04-01,66.56
2023-04-02,67.1
2023-04-03,108.58
2023-04-04,78.1
2023-04-05,84.91
2023-04-06,75.08
2023-04-07,64.71
2023-04-08,61.57
2023-04-09,73.8
2023-04-10,87.22
2023-04-11,88.15
2023-04-12,91.1
2023-04-13,90.5
2023-04-14,54.65
2023-04-15,49.37
2023-04-16,73.87
2023-04-17,112.22
2023-04-18,81.24
2023-04-19,97.5
2023-04-20,84.82
2023-04-21,54.34
2023-04-22,68.41
2023-04-23,90.68
2023-04-24,82.29
2023-04-25,86.89
2023-04-26,74.94
2023-04-27,57.54
2023-04-28,53.03
2023-04-29,50.13
2023-04-30,74.39
2023-05-01,78.03
2023-05-02,90.91
2023-05-03,64.85
2023-05-04,70.65
2023-05-05,67.51
2023-05-06,42.09
2023-05-07,77.44
2023-05-08,97.65
2023-05-09,76.13
2023-05-10,96.78
2023-05-11,71.18
2023-05-12,51.78
2023-05-13,61.11
2023-05-14,78.93
2023-05-15,85.79
2023-05-16,93.26
2023-05-17,70.5
2023-05-18,68.34
2023-05-19,44.34
2023-05-20,60.21
2023-05-21,63.96
2023-05-22,77.32
2023-05-23,99.88
2023-05-24,90.27
2023-05-25,72.38
2023-05-26,47.2
2023-05-27,57.81
2023-05-28,84.78
2023-05-29,85.74
2023-05-30,110.37
2023-05-31,82.94
2023-06-01,67.86
2023-06-02,54.68
2023-06-03,61.96
2023-06-04,70.78
2023-06-05,91.06
2023-06-06,96.39
2023-06-07,70.8
2023-06-08,52.28
2023-06-09,39.06
2023-06-10,65.35
2023-06-11,60.92
2023-06-12,62.1
2023-06-13,90.36
2023-06-14,103.24
2023-06-15,65.18
